Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,World Development Indicators,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2025/1/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025/1/28,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Country Code,,所有的国家名称,
Aruba,ABW,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABW,0,ARE,28.73505652
Africa Eastern and Southern,AFE,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AFE,0,AUS,25.99476932
Afghanistan,AFG,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.59084406,13.59084406,13.59084406,13.59084406,13.59084406,13.59084406,13.59084406,13.59084406,13.59084406,13.59084406,13.59084406,13.59084406,13.59084406,13.59084406,14.27571728,2.717656631,2.701549836,3.063960169,9.559296653,10.00683995,9.483963926,9.285154368,9.045406309,9.383759599,9.507433901,9.507433905,8.464749288,6.901328543,6.412409422,8.46496564,8.46496564,8.46496564,8.46496564,,AFG,10.00292976,AUT,41.63784191
Africa Western and Central,AFW,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AFW,0,BEL,43.95972248
Angola,AGO,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.265440474,3.265440474,3.265440474,3.265440474,3.265440474,3.265440474,3.265440474,3.265440474,3.265440474,3.265440474,3.265440474,3.265440474,3.265440474,3.265440474,3.265440474,3.265440474,3.265440474,3.265440474,3.265440474,3.265440474,3.265440474,3.265440474,3.265440474,3.265440474,3.265440474,2.985137771,3.528381609,3.56432794,3.271733131,3.292715585,2.985137771,3.56432794,3.564327941,,AGO,3.287253091,BGR,27.8727501
Albania,ALB,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.581147177,7.581147177,4.642834014,4.642834014,5.902943815,8.072768794,1.843789302,2.013605501,5.119036911,7.70330249,7.610966163,12.30733149,7.801053849,6.434800295,8.795619682,16.98425068,20.2122671,18.95074935,14.08801133,14.36151942,6.555943839,10.54919472,17.09504633,5.636489284,6.628266269,5.804435386,4.468150738,4.881038212,4.609022906,4.243720056,6.309991588,5.232878567,5.232979763,,ALB,8.463764615,BOL,8.772798801
Andorra,AND,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AND,0,BRA,35.71785052
Arab World,ARB,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARB,0,CAN,37.80644186
United Arab Emirates,ARE,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.08376463,23.08376463,23.08376463,23.08376463,23.08376463,23.08376463,23.08376463,23.08376463,23.08376463,23.08376463,23.08376463,23.08376463,23.08376463,23.08376463,23.08376463,23.08376463,23.08376463,23.08376463,23.08376463,23.08376463,23.08376463,23.08376463,37.78255069,37.87354514,37.82861312,35.92971301,35.91946218,36.63153879,37.48916966,39.19941352,40.8047479,39.17506082,39.17506082,,ARE,28.73505652,CHE,57.97587618
Argentina,ARG,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.86999967,24.86999967,27.55326077,27.55326077,29.38660683,26.91826135,28.35387655,30.47103263,30.01835099,27.69903443,28.26313958,26.76094019,25.84124138,25.84124138,24.61147082,25.20483822,26.20795374,26.35381762,25.93189675,25.52089884,26.18347632,26.32628394,26.26955377,26.42077794,25.47869525,25.29401927,26.92047608,27.29380501,25.0392642,25.7281843,26.25806908,27.32987455,27.7062875,,ARG,26.74597822,CHL,19.95539992
