typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20140101","2014","52","2014","24","AGO","Angola","M","Import","0","W00","World","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","82","false","-1","N/A",,"false","82","false",,"false","2883",,"2883","0","true","false",
"C","A","20140101","2014","52","2014","24","AGO","Angola","M","Import","826","GBR","United Kingdom","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","82","false","-1","N/A",,"false","82","false",,"false","2883",,"2883","0","true","false",
"C","A","20140101","2014","52","2014","32","ARG","Argentina","M","Import","0","W00","World","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","2560053.349","true","-1","N/A","0","false",,"true",,"false","618548.03","598223.69","618548.03","0","false","true",
"C","A","20140101","2014","52","2014","32","ARG","Argentina","M","Import","68","BOL","Bolivia (Plurinational State of)","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","2560000","false","8","kg","2560000","false","2560000","false",,"false","618535.14","598211.03","618535.14","0","false","true",
"C","A","20140101","2014","52","2014","32","ARG","Argentina","M","Import","842","USA","USA","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","53.349","true","-1","N/A","0","false",,"true",,"false","12.89","12.66","12.89","0","false","true",
"C","A","20140101","2014","52","2014","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","22847","false","-1","N/A",,"false","22847","false",,"false",,"11411","11411","0","true","false",
"C","A","20140101","2014","52","2014","36","AUS","Australia","M","Import","124","CAN","Canada","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2","false","-1","N/A",,"false","2","false",,"false",,"3465","3465","0","true","false",
"C","A","20140101","2014","52","2014","36","AUS","Australia","M","Import","496","MNG","Mongolia","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","13896","false","-1","N/A",,"false","13896","false",,"false",,"2164","2164","0","true","false",
"C","A","20140101","2014","52","2014","36","AUS","Australia","M","Import","598","PNG","Papua New Guinea","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1","false","-1","N/A",,"false","1","false",,"false",,"3383","3383","0","true","false",
"C","A","20140101","2014","52","2014","36","AUS","Australia","M","Import","792","TUR","Türkiye","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8946","false","-1","N/A",,"false","8946","false",,"false",,"1020","1020","0","true","false",
