typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20040101","2004","52","2004","8","ALB","Albania","M","Import","0","W00","World","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","975","false","-1","N/A",,"false","975","false",,"false","709",,"709","0","true","false",
"C","A","20040101","2004","52","2004","8","ALB","Albania","M","Import","380","ITA","Italy","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","975","false","-1","N/A",,"false","975","false",,"false","709",,"709","0","true","false",
"C","A","20040101","2004","52","2004","12","DZA","Algeria","M","Import","0","W00","World","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","50","false","-1","N/A",,"false","50","false",,"false","3374",,"3374","0","true","false",
"C","A","20040101","2004","52","2004","12","DZA","Algeria","M","Import","251","FRA","France","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","40","false","-1","N/A",,"false","40","false",,"false","1938",,"1938","0","true","false",
"C","A","20040101","2004","52","2004","12","DZA","Algeria","M","Import","276","DEU","Germany","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5","false","-1","N/A",,"false","5","false",,"false","93",,"93","0","true","false",
"C","A","20040101","2004","52","2004","12","DZA","Algeria","M","Import","724","ESP","Spain","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4","false","-1","N/A",,"false","4","false",,"false","1153",,"1153","0","true","false",
"C","A","20040101","2004","52","2004","12","DZA","Algeria","M","Import","826","GBR","United Kingdom","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1","false","-1","N/A",,"false","1","false",,"false","190",,"190","0","true","false",
"C","A","20040101","2004","52","2004","24","AGO","Angola","M","Import","0","W00","World","0","W00","World","H1","HS","true","280519","Alkali metals; other than sodium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","140421","false","8","kg","140421","false","140421","false","0","false","47554.151","24885.222","47554.151","0","false","true",
"C","A","20040101","2004","52","2004","24","AGO","Angola","M","Import","826","GBR","United Kingdom","0","W00","World","H1","HS","true","280519","Alkali metals; other than sodium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","140421","false","8","kg","140421","false","140421","false","0","false","47554.151","24885.222","47554.151","0","false","true",
"C","A","20040101","2004","52","2004","32","ARG","Argentina","M","Import","0","W00","World","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1302","false","-1","N/A",,"false","1302","false",,"false","24000",,"24000","0","true","false",
